,Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
817,AUSTRALIA,2/25/2012,2012.0,Unprovoked,New South Wales,Broughton Island,Fishing,M,0,Laceration to left foot,N,16h00,Grey nurse shark,02
819,AUSTRALIA,2/6/2012,2012.0,Unprovoked,Queensland,Wurtulla,Surfing,M,29,"No injury, but fin lost from surfboard",N,12h00,,02
820,USA,1/27/2012,2012.0,Unprovoked,Hawaii,Lanai,Snorkeling,UNKNOWN,0,"No injury, shark bit swim fin",N,11h05,6' to 8' shark,01
821,AUSTRALIA,1/19/2012,2012.0,Unprovoked,Western Australia,Coral Bay,Snorkeling,M,26,Lacerations to right forearm,N,Afternoon,"Tiger shark, 3m",01
822,BAHAMAS,Reported 22-Jan-2012,2012.0,Unprovoked,other,Cat Island,"Diving, photographing sharks",M,0,"No injury, shark grabbed his camera",N,,Tiger shark,01
824,AUSTRALIA,1/18/2012,2012.0,Unprovoked,New South Wales,Redhead Beach,Surfing,M,44,Lacerations to thigh,N,16h45,"White shark, 2.7 m",01
825,SOUTH AFRICA,1/15/2012,2012.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,FATAL,Y,15h40,Thought to involve a bull shark,01
826,USA,1/13/2012,2012.0,Unprovoked,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,"No injury, surfboard damaged",N,,White shark,01
827,AUSTRALIA,1/3/2012,2012.0,Unprovoked,New South Wales,North Avoca Beach,Surfing,M,28,Right forearm and wrist injured,N,20h00,2 m shark,01
828,AUSTRALIA,1/2/2012,2012.0,Unprovoked,Queensland,Duranbah,Spearfishing,M,34,"No injury, punctures to swim fin",N,09h00,Allegedly a 4 m tiger shark,01
829,USA,12/31/2011,2011.0,Unprovoked,Florida,"Jupiter, Palm Beach County",other,M,0,Hand injured,N,18h00,,12
831,ECUADOR,12/25/2011,2011.0,Unprovoked,Santa Elena,Barandúa Beach,Surfing,M,23,Lacerations to left thigh and calf,N,18h00,,12
832,USA,12/23/2011,2011.0,Unprovoked,Florida,New Smyrna Beach,Surfing,M,27,Laceration to ankle,N,12h30,,12
835,AUSTRALIA,12/11/2011,2011.0,Unprovoked,New South Wales,Angourie,Surfing,M,51,5 puncture wounds to thigh,N,05h45,"White shark, 2.5m",12
837,AUSTRALIA,12/7/2011,2011.0,Unprovoked,New South Wales,Maroubra,Surfing,M,14,Minor injuries to left leg ,N,,Wobbegong shark,12
838,USA,12/6/2011,2011.0,Unprovoked,Oregon,Seaside Cove,Surfing,F,0,Minor injury to calf ,N,09h00,,12
840,AUSTRALIA,12/2/2011,2011.0,Unprovoked,New South Wales,Broken Head,Surfing,M,63,Torn shoulder ligament as result of collision with shark,N,06h00,,12
841,INDONESIA,11/29/2011,2011.0,Unprovoked,Bali,Tabanan,Surfing,M,18,Lacerations to right hand,N,13h30,,11
842,AUSTRALIA,11/28/2011,2011.0,Unprovoked,Queensland,Peregian,Swimming,M,10,Puncture marks to foot,N,Afternoon,Wobbegong shark?,11
844,PAPUA NEW GUINEA,Reported 20-Nov-2011,2011.0,Unprovoked,East New Britain,Pigeon Island,Scuba diving,M,0,"No injury, shark collided with diver",N,,,11
845,BRAZIL,11/12/2011,2011.0,Unprovoked,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,35,Legs bitten,N,,,11
846,REUNION,11/11/2011,2011.0,Unprovoked,Bois-Blanc ,Sainte-Rose,Free diving / spearfishing,M,42,Left foot bitten,N,Morning,,11
847,USA,  29-Oct-2011,2011.0,Unprovoked,California,"Marina State Beach, Monterey County",Surfing,M,27,"Lacerations to right wrist, foream & neck",N,,White shark,10
848,SCOTLAND,Reported 28-Oct-2011,2011.0,Unprovoked,Moray,Spey Bay,Surfing,M,26,"No injury, shark bumped leg & board. ",N,,8' to 10' shark,10
850,AUSTRALIA,10/22/2011,2011.0,Unprovoked,Western Australia,Rottnest Island,Diving,M,32,FATAL,Y,13h25,"White shark, 10'",10
851,USA,10/20/2011,2011.0,Unprovoked,Oregon,"Newport, Lincoln County",Surfing,M,41,"No injury, shark bit surfboard",N,,"White shark, 15'",10
852,AUSTRALIA,10/19/2011,2011.0,Unprovoked,Victoria,Elwood Beach,Diving,M,50,Small bruise to calf,N,16h00,"Port Jackson shark, 1m",10
853,USA,10/11/2011,2011.0,Unprovoked,Florida,Cape Canaveral,Surfing,M,0,Foot bitten,N,,3' shark,10
854,USA,10/10/2011,2011.0,Unprovoked,Oregon,Seaside,Surfing,M,0,No injury,N,,10' to 12' shark,10
855,AUSTRALIA,10/9/2011,2011.0,Unprovoked,Western Australia,Cottesloe Beach,Swimming,M,64,FATAL,Y,08h10,,10
857,USA,10/2/2011,2011.0,Unprovoked,Florida,"Santa Maria Island, Manatee County",Wade fishing,M,0,Minor injury to thigh,N,Afternoon,,10
858,USA,10/1/2011,2011.0,Unprovoked,Alabama,"Gulf Shores, Baldwin County",other,M,29,Lacerations to right wrist and middle finger,N,,,10
861,SOUTH AFRICA,9/28/2011,2011.0,Unprovoked,Western Cape Province,Clovely Beach,Swimming,M,43,"Right leg severed, left leg lacerated",N,12h25,White shark,09
862,USA,9/24/2011,2011.0,Unprovoked,Florida,"Santa Maria Island, Manatee County",Spearfishing,M,21,Laceration to left thigh,N,15h00,"Bull shark, 6'",09
863,USA,9/24/2011,2011.0,Unprovoked,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,M,5,Laceration to left thigh,N,10h00,,09
865,REUNION,9/19/2011,2011.0,Unprovoked,Saint-Gilles,Boucan-Canot,Body boarding,M,38,FATAL,Y,15h30,,09
866,KENYA,9/17/2011,2011.0,Unprovoked,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,M,17,FATAL,Y,,,09
867,USA,9/16/2011,2011.0,Unprovoked,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,N,11h00,4' to 6' shark,09
868,USA,9/11/2011,2011.0,Unprovoked,California,"Samoa Beach, Humboldt County",Surfing,M,37,"No injury, board bitten",N,12h20,,09
869,PAPUA NEW GUINEA,9/11/2011,2011.0,Unprovoked,Central Province,"Hula, near Port Moresby",Kite Surfing,M,30,Lacerations to right leg,N,Afternoon,"Tiger shark, 2m",09
870,USA,9/4/2011,2011.0,Unprovoked,Hawaii,"Nimitz State Beach, Oahu",Surfing,UNKNOWN,0,"No injury, shark bit surfboard",N,13h00,,09
871,AUSTRALIA,9/4/2011,2011.0,Unprovoked,Western Australia, Bunker Bay,Body boarding,M,21,FATAL,Y,13h26,White shark,09
872,USA,9/2/2011,2011.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Lacerations to ankle & foot,N,11h00,"6' shark, possibly a blactip or spinner shark",09
873,USA,8/31/2011,2011.0,Unprovoked,Florida,Crescent Beach St. Johns County,Surfing,M,19,Lacerations to lower leg,N,11h00,6' shark,08
875,USA,8/28/2011,2011.0,Unprovoked,Texas,"Grass Island, Aransas County",Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,19h00,,08
876,RUSSIA,8/26/2011,2011.0,Unprovoked,Primorsky Krai,Slavyanka,"Standing, collecting sea stars",M,0,Superficial laceration to shoulder,N,Morning,,08
877,USA,8/24/2011,2011.0,Unprovoked,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,N,,,08
878,USA,8/24/2011,2011.0,Unprovoked,North Carolina,Holden Beach. Brunswick County,other,M,10,Heel bitten,N,15h30,,08
879,SOUTH AFRICA,8/23/2011,2011.0,Unprovoked,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,49,FATAL,Y,09h11,"White shark, >6'",08
880,RUSSIA,8/18/2011,2011.0,Unprovoked,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,16,"Lacerations to hip, thigh and knee",N,,,08
