Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
REUNION,4/29/2017,2017.0,Unprovoked,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,11h15,,04
NEW ZEALAND,4/27/2017,2017.0,Unprovoked,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,N,14h00,,04
"ST HELENA, British overseas territory",4/22/2017,2017.0,Unprovoked,Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16h00,,04
USA,4/17/2017,2017.0,Unprovoked,Florida,"Daytona Beach, Volusia County",other,UNKNOWN,0,Minor bite to the foot,N,Afternoon,,04
AUSTRALIA,4/17/2017,2017.0,Unprovoked,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16h00,White shark,04
USA,4/14/2017,2017.0,Unprovoked,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",04
USA,4/13/2017,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13h30,,04
USA,4/12/2017,2017.0,Unprovoked,Florida,St. Augustine,Surfing,F,0,Lacerations to right foot,N,13h45,,04
USA,4/11/2017,2017.0,Unprovoked,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16h00,,04
USA,4/10/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,17h45,,04
USA,4/10/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17h00,,04
USA,4/6/2017,2017.0,Unprovoked,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,,,04
USA,4/5/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,04
AUSTRALIA,4/2/2017,2017.0,Unprovoked,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,04
USA,4/2/2017,2017.0,Unprovoked,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",04
USA,3/27/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10h00,,03
AUSTRALIA,3/19/2017,2017.0,Unprovoked,New South Wales,The Farm,Body boarding,M,30,Minor,N,18h30,,03
PHILIPPINES,3/11/2017,2017.0,Unprovoked,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,,10' shark,03
BAHAMAS,Reported 09-Mar-2017,2017.0,Unprovoked,Great Exuma,other,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,03
AUSTRALIA,2/25/2017,2017.0,Unprovoked,Western Australia,Mauds Point,Snorkeling,F,0,Hand bitten,N,Morning,"Bull shark, 1.5",02
AUSTRALIA,2/24/2017,2017.0,Unprovoked,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,0,"No injury, shark struck board",N,Morning,,02
REUNION,2/21/2017,2017.0,Unprovoked,Saint-Andre,other,Body boarding,M,26,Fatal,Y,09h30,,02
AUSTRALIA,2/17/2017,2017.0,Unprovoked,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,10h20,,02
USA,2/11/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13h30,,02
BAHAMAS,2/1/2017,2017.0,Unprovoked,Bimini,other,Scuba Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,02
BRAZIL,1/24/2017,2017.0,Unprovoked,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,13h20,,01
USA,1/22/2017,2017.0,Unprovoked,Florida,"Vero Beach, Indian River County",other,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,01
AUSTRALIA,1/21/2017,2017.0,Unprovoked,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",01
AUSTRALIA,1/13/2017,2017.0,Unprovoked,Queensland,Clairview,Swimming,M,57,Injury to hand,N,13h30,,01
USA,1/13/2017,2017.0,Unprovoked,Florida,Jensen Beach,other,M,0,Minor injury to hand,N,Morning,,01
INDONESIA,1/9/2017,2017.0,Unprovoked,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",01
USA,1/5/2017,2017.0,Unprovoked,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,12h30,,01
USA,12/27/2016,2016.0,Unprovoked,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,17h00,,12
AUSTRALIA,12/24/2016,2016.0,Unprovoked,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,0,Buttock bitten,N,Morning,a small shark,12
SOUTH AFRICA,12/19/2016,2016.0,Unprovoked,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",12
AUSTRALIA,12/14/2016,2016.0,Unprovoked,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,09h30,,12
FRENCH POLYNESIA,12/11/2016,2016.0,Unprovoked,Tuamotos,Takapoto Atoll,Fishing,M,40s,Hand injured?,N,,,12
AUSTRALIA,12/1/2016,2016.0,Unprovoked,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,12
USA,11/14/2016,2016.0,Unprovoked,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,11
USA,10/30/2016,2016.0,Unprovoked,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,,10
USA,10/29/2016,2016.0,Unprovoked,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Afternoon,,10
AUSTRALIA,10/24/2016,2016.0,Unprovoked,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,07h30,,10
USA,10/21/2016,2016.0,Unprovoked,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark,10
AUSTRALIA,10/15/2016,2016.0,Unprovoked,Queensland,"Kings Beach, Caloundra",Surfing,M,0,Torso nipped,N,18h00,,10
USA,10/14/2016,2016.0,Unprovoked,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,09h50,,10
AUSTRALIA,10/12/2016,2016.0,Unprovoked,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,,10
USA,10/10/2016,2016.0,Unprovoked,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,,10
USA,10/2/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,,10
USA,10/1/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,17h30,,10
AUSTRALIA,9/26/2016,2016.0,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",09
USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,13h00,,09
USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,11h00,,09
USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,10h43,,09
USA,9/17/2016,2016.0,Unprovoked,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,After noon,,09
AUSTRALIA,9/17/2016,2016.0,Unprovoked,Victoria,Thirteenth Beach,Surfing,M,0,Struck by fin on chest & leg,N,,,09
AUSTRALIA,9/16/2016,2016.0,Unprovoked,Victoria,Bells Beach,Surfing,M,0,No injury: Knocked off board by shark,N,,2 m shark,09
USA,9/11/2016,2016.0,Unprovoked,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,09
USA,9/7/2016,2016.0,Unprovoked,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",09
NEW CALEDONIA,9/6/2016,2016.0,Unprovoked,North Province,Koumac,Kite surfing,M,50,FATAL,Y,15h40,,09
